familyid,ethnicgroup,length_of_residence,owner_renter_status,vacant,bathroom_cnt,bedroom_cnt,latitude,longitude
000000064097,B,03,2,0,,,034.136130,-118.143490
000000191203,H,01,9,0,4,5,033.840970,-118.061580
000000281697,H,01,1,0,,,034.699330,-118.139060
000000374686,E,15,9,0,1,2,033.797980,-118.117640
000000440577,E,01,7,0,0,0,034.408210,-118.440980
000000443758,S,26,9,0,3,5,033.758820,-118.406430
000000646960,E,03,5,0,,,034.052420,-118.348569
000000843508,K,05,8,0,0,0,033.950230,-117.971700
000000978979,E,19,9,0,5,6,034.042760,-118.401970
000001058934,D,01,5,0,,,034.113783,-117.773502
000001073360,I,19,9,0,3,2,033.763931,-118.303947
000001075901,E,08,9,0,3,4,034.432340,-118.543310
000001186921,E,14,9,0,2,4,034.006810,-118.407310
000001258101,E,06,7,0,0,0,033.868780,-118.291270
000001308322,D,03,9,0,3,4,034.068270,-117.819310
000001368837,E,04,5,0,,,034.076519,-118.302304
000001388218,E,06,7,0,0,0,034.268120,-118.320780
000001695032,K,05,2,0,,,034.067489,-118.349908
000001924404,E,02,9,0,2,2,034.161180,-118.503850
000002063410,I,16,9,0,2,3,034.217430,-118.515160
000002394300,E,38,5,0,,,034.411335,-118.502674
000002402372,N,09,9,0,0,0,034.429130,-118.623460
000002462934,I,05,4,0,,,034.384078,-118.573738
000002754940,I,01,5,0,,,034.410890,-118.580330
000003055389,D,01,4,0,,,034.169570,-118.464570
000003140684,E,07,9,0,3,3,034.442800,-118.540370
000003182435,D,09,9,0,2,3,034.148120,-118.386310
000003186667,W,04,5,0,,,033.999690,-118.449890
000003186722,E,03,4,0,,,034.049890,-118.341160
000003349643,E,12,5,0,,,034.045951,-118.450360
000003389073,E,08,9,0,4,4,033.768640,-118.385840
000003470934,J,09,9,0,0,0,033.980610,-118.467230
000003499021,J,07,6,0,,,033.891021,-118.412784
000003502713,C,11,9,0,2,2,034.102830,-118.375010
000003582471,J,02,9,0,2,3,034.151500,-118.416330
000003611184,D,06,9,0,2,4,034.161650,-118.043140
000003700938,A,06,9,0,2,3,034.164050,-118.242680
000003706439,C,03,9,0,4,5,034.177220,-118.667270
000003810402,S,11,8,0,0,0,034.143310,-118.453920
000003818586,J,28,9,0,2,3,034.132790,-118.085360
000003872150,E,05,3,0,,,034.063240,-118.409210
000003900540,E,06,9,0,2,3,034.046890,-118.392330
000003982603,D,03,9,0,2,3,034.095160,-118.359580
000003988345,I,01,2,0,,,033.766160,-118.196860
000003988735,I,10,9,0,3,2,034.156950,-118.368870
000004007056,E,27,9,0,2,2,034.119900,-118.019430
000004027856,N,04,7,0,0,0,034.038410,-118.390340
000004136895,E,35,9,0,3,2,034.181080,-118.105700
000004172611,E,08,9,0,4,4,033.876460,-118.061190
000004267102,E,06,3,0,,,033.809060,-118.360914
000004313515,C,04,2,0,,,034.069050,-118.349230
000004405922,S,10,9,0,0,0,034.141310,-118.145140
000004463809,J,32,9,0,1,3,033.852760,-118.357340
000004711347,N,06,9,0,1,3,034.181180,-118.112140
000004826272,I,10,5,0,,,034.166500,-118.451130
000004827838,E,10,5,0,,,034.135321,-118.659528
000004951282,E,06,9,0,6,4,034.218930,-118.186490
000004972711,I,02,8,0,0,0,033.793850,-118.388280
000005180108,E,03,9,0,3,5,034.134800,-118.163650
000005344957,E,10,9,0,2,2,034.194020,-118.117520
000005430321,A,11,7,0,0,0,033.962000,-118.390240
000005491256,D,13,3,0,,,034.251320,-118.585350
000005521554,E,23,9,0,2,2,034.021490,-118.508920
000005562854,E,06,4,0,,,034.056670,-118.347780
000005568229,S,07,9,0,4,4,034.115550,-118.117280
000005942087,E,20,7,0,0,0,033.981980,-118.466070
000005989922,I,11,9,0,0,0,034.100480,-118.023590
000006022092,H,15,4,0,,,033.940700,-118.348930
000006117266,I,08,5,0,,,034.158347,-118.585042
000006137383,E,08,9,0,5,6,034.158347,-118.585042
000006198030,E,03,9,0,2,2,034.033080,-118.486500
000006283678,C,07,9,0,3,4,034.009860,-118.452300
000006408598,H,22,9,0,2,2,033.807660,-118.202700
000006464724,J,06,9,0,2,2,034.144400,-118.374430
000006515580,E,06,9,0,3,3,034.029085,-118.502620
000006519563,E,07,9,0,2,2,034.422580,-118.451070
000006531378,S,01,2,0,,,033.760510,-118.141510
000006716677,E,03,2,0,,,034.028380,-118.482820
000006792991,R,12,9,0,2,2,034.118710,-118.359742
000006801197,D,04,9,0,2,3,033.756780,-118.315230
000006888912,I,04,9,0,3,3,034.412120,-118.485490
000006917390,C,40,9,0,2,3,034.045720,-118.150530
000006937831,D,01,1,0,,,034.142060,-118.369490
000006997008,E,07,9,0,2,3,034.100070,-118.252540
000007166854,I,04,9,0,2,3,033.869820,-118.165750
000007218721,E,04,2,0,,,034.028950,-118.481650
000007326890,W,19,9,0,3,2,034.493710,-118.344610
000007414928,F,12,9,0,3,3,034.101960,-117.808660
000007430083,E,38,9,0,2,4,033.931430,-118.084080
000007470808,H,33,9,0,2,4,034.009960,-118.087110
000007472855,J,03,2,0,,,033.764150,-118.169580
000007496400,N,15,9,0,1,3,034.267460,-118.313170
000007500928,S,13,9,0,2,3,034.054190,-118.372180
000007639123,E,35,9,0,3,4,033.783500,-118.123930
000007788144,E,50,9,0,2,4,034.218010,-118.581500
000007788173,I,03,9,0,2,2,033.957590,-118.438640
000007890160,S,12,9,0,3,5,034.448890,-118.564920
000007904049,E,17,8,0,0,0,034.106583,-118.758569
000008117965,N,07,7,0,0,0,034.178850,-118.344310
000008226483,E,14,9,0,2,2,034.077010,-117.767590
000008391179,D,03,5,0,,,034.174240,-118.127790
000008515030,C,23,9,0,3,3,034.098550,-118.128230
000008593911,C,11,8,0,0,0,033.960950,-117.905070
000008599962,E,05,2,0,,,034.096110,-118.369920
000008604046,D,01,7,0,0,0,033.999160,-118.396130
000008808275,E,02,7,0,0,0,034.187875,-118.651510
000008846768,E,05,9,0,2,3,033.926860,-117.992920
000009035500,V,12,9,0,2,4,033.854350,-118.093570
000009300947,E,01,7,0,0,0,034.135150,-118.653510
000009470560,E,17,9,0,2,4,034.253320,-118.454520
000009637765,E,10,8,0,0,0,033.868480,-118.094060
000009638046,E,03,4,0,,,034.069029,-118.384615
000009896789,S,22,9,0,3,5,034.158690,-118.123440
000010213932,D,50,9,0,1,3,034.191730,-118.564890
000010235315,E,36,9,0,2,3,034.160170,-118.521670
000010293459,H,10,5,0,,,034.155180,-118.642629
000010560092,H,01,7,0,0,0,034.283390,-118.494180
000010833084,R,02,4,0,,,034.107046,-118.152921
000010899752,H,01,5,0,,,034.577090,-118.135200
000010927100,E,04,7,0,0,0,034.163690,-118.419320
000011113245,B,12,9,0,3,4,034.651664,-118.235491
000011201585,S,18,9,0,3,4,034.395070,-118.597310
000011686315,E,03,9,0,2,4,034.643370,-118.243240
000012506698,I,07,5,0,,,034.072333,-118.343059
000012726377,I,07,5,0,,,033.917180,-118.361274
000012744667,H,34,9,0,1,1,034.259340,-118.294890
000012781222,J,09,3,0,,,033.987290,-118.422198
000014141820,I,07,9,0,3,3,033.991860,-118.437310
000020065729,S,10,9,0,2,3,033.833040,-118.182100
000020112099,S,20,9,0,3,4,033.874990,-118.373040
000020178047,N,03,4,0,,,034.184180,-118.330090
000020449430,E,15,9,0,2,2,034.175180,-118.382580
000020686042,A,10,9,0,1,1,033.990900,-118.442730
000020714411,H,15,9,0,3,4,034.451980,-118.488410
000020820368,E,03,4,0,,,033.797688,-118.287994
000021526379,W,06,9,0,2,2,034.401960,-118.471570
000023090534,E,10,9,0,3,4,034.470440,-118.636970
000023093168,E,04,9,0,2,3,033.766810,-118.141850
000023104968,A,01,9,0,4,4,034.426570,-118.552340
000023382692,S,03,9,0,0,0,034.321566,-118.405043
000023838025,V,07,9,0,0,0,034.210250,-118.205690
000023850458,D,09,1,0,,,034.055580,-118.382270
000024042882,E,09,9,0,3,4,034.105310,-118.223690
000024113927,S,06,3,0,,,034.149370,-118.361690
000024375334,E,28,9,0,1,3,034.196780,-118.157910
000024379286,L,23,9,0,0,0,033.962310,-118.320960
000024427366,E,04,9,0,1,1,034.031970,-118.470550
000024649377,E,01,4,0,,,034.071956,-118.371239
000024731894,I,07,9,0,2,3,034.105250,-118.114090
000024846350,S,24,9,0,1,1,033.772895,-118.120874
000025073287,C,11,9,0,2,4,034.049140,-118.132690
000025272885,P,04,9,0,2,4,034.226180,-118.488590
000025438322,C,10,9,0,3,2,034.142560,-117.983790
000025540267,P,06,7,0,0,0,034.137430,-118.190870
000025567784,S,14,8,0,0,0,033.916990,-118.241300
000025568434,E,09,5,0,,,033.841860,-118.060910
000025655341,J,22,9,0,3,5,034.063950,-117.893490
000025698546,E,34,9,0,4,5,034.048730,-118.318610
000025721198,P,09,8,0,0,0,033.855880,-118.084020
000026007520,E,11,9,0,2,2,034.105560,-118.760160
000026025459,N,06,7,0,0,0,034.083180,-118.357060
000026111103,I,10,6,0,,,034.099390,-117.912620
000026263761,I,12,9,0,5,4,033.744550,-118.332950
000026390406,C,17,9,0,2,3,034.256120,-118.478830
000026468255,J,04,9,0,2,3,034.157890,-117.999270
000026515290,H,04,9,0,2,2,034.210090,-118.205620
000026593401,J,06,5,0,,,034.022930,-118.432890
000026804130,H,05,8,0,0,0,033.983740,-118.027260
000026951531,S,03,8,0,0,0,033.817610,-118.365840
000026976328,H,33,9,0,2,4,034.003910,-118.108590
000027107131,E,06,9,0,2,2,034.136310,-118.140210
000027217854,H,01,1,0,,,034.180331,-118.305284
000027297410,S,11,9,0,3,5,034.038060,-118.844390
000027496602,E,03,5,0,,,033.798483,-118.151373
000027496937,L,02,8,0,0,0,033.848380,-118.259250
000027584549,H,16,9,0,1,2,033.918500,-118.166290
000027586494,H,13,7,0,0,0,033.808400,-118.270600
000027615351,F,02,4,0,,,034.760490,-118.168420
000027673128,C,19,9,0,1,3,034.090100,-118.104780
000027697516,D,21,9,0,4,4,033.806240,-118.362480
000027787057,H,25,9,0,3,4,033.944520,-118.099680
