familyid,CT00
000106617324,463600
000106679098,555103
000106273271,900806
000106308511,574300
000106431883,920043
000106455462,670414
000078016440,216200
000106588022,500201
000106634477,269000
000106657576,401603
000106363979,295101
000039289524,920112
000106412089,702700
000106149898,603200
000106345320,401302
000100211772,192520
000106676244,103200
000106455975,214500
000105881617,139600
000106031897,131200
000106306043,920314
000106099839,920327
000105860358,920326
000105991288,920327
000105823939,128800
000106522529,920110
000105935418,143300
000010927100,273700
000079952391,217200
000106362313,267300
000105824859,670406
000105939491,273900
000105792070,620302
000081180278,194200
000106079767,143400
000106453245,430502
000106275257,301100
000105883818,137302
000105972510,141600
000105973752,463102
000106584081,701000
000106211777,269500
000106230123,189800
000106256589,576000
000040935461,125500
000106218868,430803
000105975461,269700
000106507685,461200
000106016136,554512
000106616747,651222
000106070381,214500
000106450946,463600
000106039832,650501
000105848865,461200
000105864132,128800
000106219314,800202
000105844170,460501
000106017860,670301
000106509844,463900
000106636518,460100
000105809994,276000
000106651753,113321
000106658357,701301
000094454333,216200
000106548079,464100
000106657123,273900
000105867596,431500
000106584557,601802
000106058432,137501
000105914353,137501
000106070920,701501
000106301755,271400
000106128819,572202
000106323824,143601
000106417628,701301
000106071832,920038
000106523127,577300
000106384157,701502
000105951688,194100
000106166535,670701
000025540267,920030
000105867135,482002
000106211921,143601
000106583802,187300
000106123979,570502
000105951426,701502
000106235974,910803
000106432478,401311
000106031960,550200
000040977233,500600
000106676485,576602
000105799996,103101
000106328052,216800
000105820850,574800
000104233511,134103
000106415529,276602
000106418250,920108
000106522074,800303
000106563772,311300
000105885399,402200
000106581892,461400
000106638117,480302
000106210035,408703
000105866105,700300
000105840309,702600
000106121095,135203
000106273255,503701
000078212676,554522
000105957244,800202
000106014184,109601
000106671414,554521
000106232968,700800
000106100545,462400
000105994888,134800
000106541310,139502
000106349293,800201
000106252064,106602
000106457896,480704
000106458402,910401
000106125502,124700
000105996181,901101
000106545490,920327
000078673343,901207
000106541268,214100
000105821123,602106
000106031703,101110
000106676406,275311
000106129810,275400
000106250928,571900
000106326403,620522
000106509179,310900
000106619910,124102
000106568112,275400
000106277424,920032
000106210250,294410
000105821445,920031
000106166116,920105
000105849269,577100
000088558910,920113
000106456434,106111
000106035304,460502
000106141065,216400
000106070116,185201
000106016076,143100
000106501516,460302
000106618744,600801
000106546543,701701
000106546810,214800
000106610966,480201
000106033739,577603
000105802811,482102
000105779675,117303
000106346868,431002
000106057449,181500
000105802007,541300
000106677732,555103
000106127818,406412
000106300539,212900
000105958062,554900
000105881366,800303
000106094423,192000
000106126697,405700
000105978634,670600
000105976195,109800
000105806909,430302
000106059899,460502
000039626382,271600
000105796333,501600
000105845082,651201
000105953818,532101
000105931511,463600
000106363513,310702
000105910147,800403
000106075920,573403
000106165589,543322
000105842953,536200
000106325753,543702
000106502169,900900
000106030668,481103
000106258604,651302
000106434894,550500
000106547366,181400
000106502910,482702
000105824919,621002
000106500832,651002
000105992284,573600
000094348965,217000
000106561665,139302
000106293089,269000
000106690247,143602
000105779049,124102
000106058665,191420
000006519563,543303
000106034413,191000
000106270998,143300
000106450475,703200
000106631584,554521
000106107071,275400
000106613281,264101
000061611691,670414
000105916232,650300
000106527197,501501
000106657827,403408
000106077040,543801
000105827051,571900
000105957927,432102
000106547882,554522
000106143368,480704
000106450349,702000
000106616543,701601
000106410223,461400
000106380886,189901
000106148460,651002
000064576095,701301
000083540473,276400
000106101999,702400
000106292193,261101
000105806519,900102
000106230178,276100
000106672847,463900
000106109329,670407
000105864268,463800
000106656208,701502
000106323353,403402
000106419523,262302
000105792397,401902
000106121207,275100
000105822810,920105
000106140166,701702
000106015562,403323
000105778886,901004
000106219408,406500
000106544724,502001
000106501142,403405
000106637894,534202
000085164809,311600
000106504093,910201
000028914853,670702
000105975034,571102
000106503547,575002
000106526756,297000
000106308223,651400
000105863068,430102
000106501058,460301
000106581452,139302
000105930358,123700
000106129153,262800
000080996203,620400
000106651156,310703
000106497394,577100
000106279808,600100
000106509205,700500
000106121736,262500
000106658674,211702
000106529775,139600
000106210865,208710
000105911266,124901
000106528504,194400
000105881748,543303
000106075755,920112
000105840464,194100
000105956879,701301
000105996592,400205
000106675573,300501
000101241529,532400
000106298128,574902
000106542934,137301
000106416923,503703
000106346758,530802
000106106567,920105
000106431210,134520
000106057287,123900
000104103386,203900
000106070946,650602
000106325407,218700
000106161394,405900
000106548605,900503
000106526109,650601
000106075409,482800
000106476043,577100
000106213795,602105
000106652411,139301
000105822881,401102
000106231409,402000
000106300814,122410
000106678924,405101
000106340825,217200
000105808197,920110
000106522731,602404
000106632938,214100
000106567365,920331
000106164965,577603
000105843522,620501
000106657649,119330
000089124589,265410
000106032267,920031
000106127363,901005
000105807714,572002
000105807109,920039
000106670324,195200
000106674378,115202
000106215679,302002
000106058961,542900
000106036355,535902
000106430769,301502
000106075412,271701
000078164643,238400
000106632022,275601
000106361951,135112
000106160623,101220
000106523067,407900
000105793149,463700
